topic|subtopic|project
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|1.  งานบริหารทั่วไปด้านการศึกษา                         108,343,488 บาท!!2.  โครงการก่อสร้างอาคารเรียน 5 ชั้น!!โรงเรียนมีนบุรี สำนักงานเขตมีนบุรี                           24,659,100 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|3.  โครงการก่อสร้างอาคารเรียน 5 ชั้น!!โรงเรียนสุเหร่าบางชัน สำนักงานเขตมีนบุรี                    12,844,558 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|4.  โครงการก่อสร้างอาคารเรียน 5 ชั้น!โรงเรียนสุเหร่าคลองหนึ่ง (มานะราษฎร์บำรุง)!!สำนักงานเขตคลองสามวา                                    10,265,668 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|5.  โครงการก่อสร้างอาคารเรียน 5 ชั้น!และปรับปรุงลานอเนกประสงค์ โรงเรียนวัดบางกระดี่!!สำนักงานเขตบางขุนเทียน                                   12,408,000 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|6.  โครงการก่อสร้างอาคารเรียน 5 ชั้น!!โรงเรียนคงโครัดอุทิศ สำนักงานเขตบางบอน                  11,580,789 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|7.  โครงการก่อสร้างอาคารเรียน 5 ชั้น!!โรงเรียนแย้มจาดวิชชานุสรณ์ สำนักงานเขตบึงกุ่ม              8,545,440 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|8.  โครงการก่อสร้างอาคารอเนกประสงค์ 3 ชั้น!โรงเรียนวัดตลิ่งชัน (ปิ่นทองสัณฐาคาร)!!สำนักงานเขตตลิ่งชัน                                          9,954,000 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|9.  โครงการก่อสร้างอาคารเรียนและอาคารประกอบ!!โรงเรียนบ้านขุนประเทศ สำนักงานเขตหนองแขม             13,090,000 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|10. โครงการก่อสร้างอาคารบ้านพักอาศัย 4 ชั้น!โรงเรียนวัดลาดกระบัง (ศีลาภิรัตอุปถัมภ)์!!สำนักงานเขตลาดกระบัง                                      6,852,000 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|11. โครงการก่อสร้างอาคารเรียนและอาคารประกอบ!!โรงเรียนวัดพระยาสุเรนทร์ สำนักงานเขตคลองสามวา         11,695,000 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|12. โครงการก่อสร้างอาคารอเนกประสงค์ 4 ชั้น!!โรงเรียนซอยแอนเนกซ์ (กาญจนาภิเษก 2)!!สำนักงานเขตสายไหม                                         9,281,999 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|13. โครงการก่อสร้างอาคารเรียน 5 ชั้น!!โรงเรียนวัดเกาะสุวรรณาราม สำนักงานเขตสายไหม           10,891,000 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|14. โครงการก่อสร้างอาคารเรียน 5 ชั้น!โรงเรียนวัดหนองจอก (ภักดีนรเศรษฐ)!!สำนักงานเขตหนองจอก                                       9,692,000 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|15. โครงการก่อสร้างอาคารเรียน 5 ชั้น!!โรงเรียนวัดตะกล่ำ สำนักงานเขตประเวศ                     10,797,000 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|16. โครงการก่อสร้างอาคารเรียน 5 ชั้น!!โรงเรียนชูสินทองประดิษฐ์อนุสรณ์ สำนักงานเขตทุ่งครุ          6,369,000 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|17. โครงการก่อสร้างอาคารอเนกประสงค์ 3 ชั้น!!โรงเรียนประชานุกูล สำนักงานเขตสายไหม                     5,824,000 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|18. โครงการก่อสร้างอาคารบ้านพักอาศัย 4 ชั้น!โรงเรียนลำพะอง (ราษฎร์จำเริญบำรุง)!!สำนักงานเขตลาดกระบัง                                      6,840,400 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|19. โครงการก่อสร้างอาคารเรียน 5 ชั้น!โรงเรียนประชาอุทิศ (จันทาบอนุสรณ์)!!สำนักงานเขตดอนเมือง                                      17,560,000 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|20. โครงการก่อสร้างอาคารเรียน 5 ชั้น!!โรงเรียนสุเหร่าหะยีมินา สำนักงานเขตหนองจอก              17,284,469 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|21. โครงการก่อสร้างอาคารบ้านพักอาศัย 4 ชั้น!!โรงเรียนวัดพระยาสุเรนทร์ สำนักงานเขตคลองสามวา           8,670,200 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|22. โครงการก่อสร้างอาคารบ้านพักอาศัย 4 ชั้น!!โรงเรียนวัดสามง่าม สำนักงานเขตหนองจอก                   7,513,759 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|23. โครงการก่อสร้างอาคารบ้านพักอาศัย 4 ชั้น!โรงเรียนวัดแป้นทอง (สามวาวิทยา)!!สำนักงานเขตคลองสามวา                                     8,516,530 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|24. โครงการปรับปรุงค่ายลูกเสือกรุงเทพมหานคร!!(พิศลยบุตร)                                                 24,820,000 บาท!
(8)   สำนักการศึกษา|แผนงานบริหารทั่วไป|25. โครงการปรับปรุงค่ายลูกเสือกรุงธน                      20,060,000 บาท!!26. งานการเจ้าหน้าที่                                       80,706,500 บาท!
(8)   สำนักการศึกษา|แผนงานพัฒนาคุณภาพการศึกษา|1.  งานยุทธศาสตร์การศึกษา                                56,023,800 บาท!!!2.  งานพัฒนาเทคโนโลยีการศึกษา                          26,479,400 บาท!
(8)   สำนักการศึกษา|แผนงานพัฒนาคุณภาพการศึกษา|3.  โครงการพัฒนาระบบคอมพิวเตอร์!!เพื่อการเรียนรู้ต่อเนื่อง                                       63,298,900 บาท!
(8)   สำนักการศึกษา|แผนงานพัฒนาคุณภาพการศึกษา|4.  โครงการพัฒนาระบบสารสนเทศและเทคโนโลยี!!การจัดการศึกษา                                            18,226,400 บาท!
(8)   สำนักการศึกษา|แผนงานพัฒนาคุณภาพการศึกษา|5.  โครงการพัฒนาระบบอินเทอร์เน็ตในโรงเรียน!!สังกัดกรุงเทพมหานคร                                       10,700,000 บาท!
(9)   สำนักการโยธา|แผนงานบริหารทั่วไป|1.  งานบริหารทั่วไปด้านการโยธาและระบบจราจร          101,301,080 บาท!!2.  งานแผนงานและประสานสาธารณูปโภค                  32,748,900 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|1.  งานสำรวจออกแบบและก่อสร้าง                        218,440,300 บาท!!2.  โครงการก่อสร้างปรับปรุงซอยพระรามที่ 2 ซอย 82       52,000,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|3.  โครงการก่อสร้างศูนย์เวชศาสตร์การกีฬา!และเวชศาสตร์ฟื้นฟูหอพักแพทย์ หอพักพยาบาล และ!!อาคารจอดรถยนต์ โรงพยาบาลเจริญกรุงประชารักษ์         254,164,370 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|4.  โครงการก่อสร้างอาคารศูนย์สุขภาพ!!โรงพยาบาลเวชการุณย์รัศมิ์                                  45,522,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|5.  โครงการจ้างที่ปรึกษาควบคุมการก่อสร้าง!โครงการต่อขยายสะพานอรุณอมรินทร์!!พร้อมทางขึ น-ลงและทางยกระดับข้ามแยกศิริราช               8,571,350 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|6.  โครงการปรับปรุงถนนประชาร่วมใจ-ถนนมิตรไมตรี      158,500,000 บาท!!7.  โครงการก่อสร้างปรับปรุงถนนคุ้มเกล้า                  429,313,500 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|10. โครงการก่อสร้างศูนย์บริการสาธารณสุข 34 โพธิ์ศรี       25,181,200 บาท!!11. โครงการก่อสร้างสะพานข้ามแยก ณ ระนอง             255,000,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|12. โครงการก่อสร้างทางลอดรัชดา - ราชพฤกษ์             170,097,100 บาท!!!13. โครงการก่อสร้างปรับปรุงถนนสามวา                    27,550,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|14. โครงการต่อเชื่อมถนนกาญจนาภิเษก-ถนน!!พุทธมณฑลสาย 2                                          385,000,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|15. โครงการก่อสร้างปรับปรุงถนนศาลาธรรมสพน์!!จากถนนพุทธมณฑลสาย 2 ถึงถนนทวีวัฒนา                  92,403,800 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|16. โครงการก่อสร้างอาคารศูนย์บริการสาธารณสุข 3!!บางซื่อ                                                      60,379,700 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|17. โครงการก่อสร้างอาคารศูนย์บริการสาธารณสุข 58!!ล้อม-พิมเสน ฟักอุดม                                        15,900,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|18. โครงการก่อสร้างปรับปรุงถนนและก่อสร้างทางยกระดับ!!ข้ามแยกถาวรธวัชและถนนซอยรามคำแหง 24                30,000,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|19. โครงการก่อสร้างปรับปรุงถนนแสมดำ!!ช่วงจากถนนพระรามที่ 2 ถึงคลองสนามชัย                   20,000,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|20. โครงการก่อสร้างถนนเลียบคลองบางเขน!!เชื่อมถนนวิภาวดีรังสิตกับถนนพหลโยธิน                     31,000,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|21. โครงการก่อสร้างปรับปรุงถนนเทิดราชัน!!Sta.2+935 ถึงถนนเชิดวุฒากาศ                             15,000,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|22. โครงการปรับปรุงอาคารธานีนพรัตน์!!ศาลาว่าการกรุงเทพมหานคร 2 ดินแดง                       50,000,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|23. โครงการทางหลวงท้องถิ่นสายเชื่อม!!ระหว่างถนนวิภาวดีรังสิตกับถนนพหลโยธิน ช่วงที่ 1!!จากถนนวิภาวดีรังสิตถึงสะพานข้ามคลองลาดพร้าว           60,000,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|24. โครงการทางหลวงท้องถิ่นสายเชื่อมระหว่างถนน!วิภาวดีรังสิตกับถนนพหลโยธิน ช่วงที่ 2 จากสะพาน!ข้ามคลองลาดพร้าวถึงถนนเทพรักษ์                          60,000,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|25. โครงการปรับปรุงและพัฒนาศูนย์บริการ!!ผู้สูงอายุดินแดง                                              18,224,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|26. โครงการก่อสร้างปรับปรุงถนนไมตรีจิต!!ช่วงจากซอยไมตรีจิต38 ถึงถนนคลองเก้า                     40,000,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|27. โครงการต่อเชื่อมถนนพุทธมณฑลสาย 2 - ถนน!!พุทธมณฑลสาย 3                                          155,000,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|28. โครงการก่อสร้างอุโมงค์ทางเดินลอด!!!ถนนหน้าพระลาน                                             8,000,000 บาท!
(9)   สำนักการโยธา|แผนงานการโยธา|29. โครงการก่อสร้างอุโมงค์ทางเดินลอด ถนนมหาราช         8,000,000 บาท!!30. งานวิเคราะห์และวิจัย                                   29,280,000 บาท!
(9)   สำนักการโยธา|แผนงานพัฒนาการโยธาและระบบจราจร|1.  งานก่อสร้างและบูรณะ                               1,317,433,000 บาท!!2.  โครงการปรับปรุงสะพานพระราม 8                      33,213,000 บาท!
(9)   สำนักการโยธา|แผนงานพัฒนาการโยธาและระบบจราจร|3.  โครงการปรับปรุงทางเท้าถนนประชาอุทิศ!ช่วงจากถนนสุขสวัสดิ์ถึงสุดเขตกรุงเทพมหานคร!!พื้นที่เขตราษฎร์บูรณะและเขตทุ่งครุ                          34,500,000 บาท!
(9)   สำนักการโยธา|แผนงานพัฒนาการโยธาและระบบจราจร|4.  โครงการปรับปรุงถนนบางเชือกหนัง ช่วงจากถนน!!พุทธมณฑลสาย 1 ถึงถนนตัดใหม่ พื้นที่เขตตลิ่งชัน            36,762,100 บาท!
(9)   สำนักการโยธา|แผนงานพัฒนาการโยธาและระบบจราจร|5.  โครงการปรับปรุงภูมิทัศน์ถนนพหลโยธิน ช่วงจาก!ห้าแยกลาดพร้าวถึงอนุสาวรีย์ชัยสมรภูมิ!!พื้นที่เขตจตุจักรและเขตพญาไท                              38,242,200 บาท!
(9)   สำนักการโยธา|แผนงานพัฒนาการโยธาและระบบจราจร|6.  โครงการปรับปรุงสะพานข้ามคลองพระโขนง              34,698,000 บาท!!7.  โครงการปรับปรุงถนนหลวงแพ่ง ช่วงจากคลอง!พระยาเพชรถึงคลองกาหลง (สุดเขตกรุงเทพมหานคร)!!พื้นที่เขตลาดกระบัง                                          26,439,000 บาท!
(9)   สำนักการโยธา|แผนงานพัฒนาการโยธาและระบบจราจร|8.  โครงการปรับปรุงถนนทวีวัฒนา-กาญจนาภิเษก!!ช่วงจากถนนพุทธมณฑลสาย 3 ถึงซอย!!ทวีวัฒนา-กาญจนาภิเษก 30 พื้นที่เขตทวีวัฒนา               24,610,000 บาท!
(9)   สำนักการโยธา|แผนงานพัฒนาการโยธาและระบบจราจร|9.  โครงการปรับปรุงและเสริมกำลังสะพานข้ามคลอง!ในพื้นที่ความรับผิดชอบของศูนย์ก่อสร้าง!!และบูรณะถนน 3 ส่วนก่อสร้างและบูรณะ 1                  43,230,000 บาท!
(9)   สำนักการโยธา|แผนงานพัฒนาการโยธาและระบบจราจร|10. โครงการจัดหาเครื่องผลิตแอสฟัลต์!!ชนิดเคลื่อนย้ายได้ (Mobile Asphalt Plant)                   1,000,000 บาท!
(9)   สำนักการโยธา|แผนงานพัฒนาการโยธาและระบบจราจร|11. โครงการจัดหาเครื่องฉีดล้างทำความสะอาดแรงดันสูง!!ติดตั้งบนเทรลเลอร์ชนิดลากจูง                                 1,000,000 บาท!
(10)  สำนักการระบายน้ำ|แผนงานพัฒนาระบบระบายน้ำ|งานบริหารทั่วไปด้านการระบายน้ำ                           37,969,359 บาท!!ข.  แผนงานพัฒนาระบบระบายน้ำ                                            !2,499,271,826 บาท!
(10)  สำนักการระบายน้ำ|แผนงานพัฒนาระบบระบายน้ำ|1.  งานพัฒนาระบบระบายน้ำ                             355,773,300 บาท!!2.  โครงการก่อสร้างอุโมงค์ระบายน้ำจากบึงหนองบอน!!ลงสู่แม่น้ำเจ้าพระยา                                      1,200,000,000 บาท!
(10)  สำนักการระบายน้ำ|แผนงานพัฒนาระบบระบายน้ำ|3.  โครงการจ้างที่ปรึกษาควบคุมการก่อสร้างโครงการ!ก่อสร้างอุโมงค์ระบายน้ำจากบึงหนองบอน!!ลงสู่แม่น้ำเจ้าพระยา                                         15,000,000 บาท!
(10)  สำนักการระบายน้ำ|แผนงานพัฒนาระบบระบายน้ำ|4.  โครงการปรับปรุงแนวป้องกันน้ำท่วม!!ริมแม่น้ำเจ้าพระยาบริเวณซอยราษฎร์บูรณะ 3                12,315,026 บาท!
(10)  สำนักการระบายน้ำ|แผนงานพัฒนาระบบระบายน้ำ|5.  โครงการก่อสร้างแก้มลิงสวนเบญจกิติ                    30,000,000 บาท!!6.  โครงการก่อสร้างอุโมงค์ระบายน้ำคลองเปรมประชากร!!จากคลองบางบัวลงสู่แม่น้ำเจ้าพระยา                       432,000,000 บาท!
(10)  สำนักการระบายน้ำ|แผนงานพัฒนาระบบระบายน้ำ|7.  โครงการจ้างที่ปรึกษาควบคุมการก่อสร้าง!โครงการก่อสร้างอุโมงค์ระบายน้ำคลองเปรมประชากร!!จากคลองบางบัวลงสู่แม่น้ำเจ้าพระยา                          6,000,000 บาท!
(10)  สำนักการระบายน้ำ|แผนงานพัฒนาระบบระบายน้ำ|8.  โครงการก่อสร้างอุโมงค์ระบายน้ำคลองทวีวัฒนา!!บริเวณคอขวด                                             166,815,000 บาท!
(10)  สำนักการระบายน้ำ|แผนงานพัฒนาระบบระบายน้ำ|9.  โครงการจ้างที่ปรึกษาควบคุมการก่อสร้างโครงการ!!ก่อสร้างอุโมงค์ระบายน้ำคลองทวีวัฒนาบริเวณคอขวด          2,500,000 บาท!
(10)  สำนักการระบายน้ำ|แผนงานพัฒนาระบบระบายน้ำ|10. โครงการก่อสร้างอุโมงค์ระบายน้ำคลองแสนแสบ!จากอุโมงค์ระบายน้ำคลองแสนแสบและคลองลาดพร้าว!!ถึงบริเวณซอยลาดพร้าว 130                               127,575,000 บาท!
(10)  สำนักการระบายน้ำ|แผนงานพัฒนาระบบระบายน้ำ|11. โครงการจ้างที่ปรึกษาควบคุมการก่อสร้าง โครงการ!ก่อสร้างอุโมงค์ระบายน้ำคลองแสนแสบจากอุโมงค์!ระบายน้ำคลองแสนแสบและคลองลาดพร้าว!!ถึงบริเวณซอยลาดพร้าว 130                                  2,500,000 บาท!
(10)  สำนักการระบายน้ำ|แผนงานพัฒนาระบบระบายน้ำ|13. โครงการจัดทำและพัฒนาระบบการบริหาร!!!จัดการน้ำเชิงรุก                                             46,000,000 บาท!
(10)  สำนักการระบายน้ำ||1.  งานเครื่องจักรกล                                      253,888,900 บาท!!2.  งานระบบควบคุมน้ำ                                   875,447,100 บาท!
(10)  สำนักการระบายน้ำ||3.  โครงการเดินระบบ บำรุงรักษาและบริหารจัดการ!อุโมงค์ระบายน้ำจากบึงมักกะสันลงสู่แม่น้ำเจ้าพระยา!!(ระยะที่ 2)                                                  90,550,000 บาท!
(10)  สำนักการระบายน้ำ||4.  โครงการปรับปรุงเพิ่มประสิทธิภาพสถานีสูบน้ำ!!หน้า สน. หัวหมาก                                          44,100,000 บาท!
(10)  สำนักการระบายน้ำ||5.  โครงการปรับปรุงเพิ่มประสิทธิภาพสถานีสูบน้ำ!!คลองห้วยขวาง                                              45,000,000 บาท!
(10)  สำนักการระบายน้ำ||6.  โครงการปรับปรุงเพิ่มประสิทธิภาพสถานีสูบน้ำ!!คลองบางนางจีน                                             40,500,000 บาท!
(10)  สำนักการระบายน้ำ||7.  โครงการปรับปรุงเพิ่มประสิทธิภาพสถานีสูบน้ำ!!คลองจิก                                                     10,000,000 บาท!
(10)  สำนักการระบายน้ำ||8.  โครงการปรับปรุงเพิ่มประสิทธิภาพสถานีสูบน้ำ!!คลองจิต                                                     10,000,000 บาท!
(10)  สำนักการระบายน้ำ||9.  โครงการปรับปรุงเพิ่มประสิทธิภาพสถานีสูบน้ำ!!คลองบ้านหลาย                                             12,000,000 บาท!
(10)  สำนักการระบายน้ำ||10. โครงการปรับปรุงเพิ่มประสิทธิภาพสถานีสูบน้ำ!!คลองเตย                                                    34,000,000 บาท!
(10)  สำนักการระบายน้ำ||13. โครงการก่อสร้างเขื่อน ค.ส.ล. คลองบ้านหลาย!จากเขื่อนเดิมบริเวณคลองขวางล่างถึงเขื่อนเดิมบริเวณ!!ซอยวชิรธรรมสาธิต 55 (ครั งที่ 2)                             40,000,000 บาท!
(10)  สำนักการระบายน้ำ||14. โครงการก่อสร้างเขื่อน ค.ส.ล. ลำรางสาธารณะ 17!!จากถนนลาดพร้าวถึงคลองตาหนัง (ครั งที่ 2)                  15,000,000 บาท!
(10)  สำนักการระบายน้ำ||15. โครงการปรับปรุงเขื่อน ค.ส.ล. คลองน้ำแก้ว!จากคลองพญาเวิกถึงคลองลาดพร้าว                          30,000,000 บาท!
(10)  สำนักการระบายน้ำ||16. โครงการก่อสร้างเขื่อน ค.ส.ล. และสถานีสูบน้ำ!คลองมหาศรจากบริเวณคลองบางไผ่ถึงบริเวณ!!คลองภาษีเจริญ                                              30,000,000 บาท!
(10)  สำนักการระบายน้ำ||17. โครงการก่อสร้างเขื่อน ค.ส.ล. (ดาดท้องคลอง)!!คลองบางอ้อ จากบริเวณถนนโรงงานไม้อัดไทย!!ไปทางประตูระบายน้ำคลองบางอ้อ                           44,550,000 บาท!
(10)  สำนักการระบายน้ำ||18. โครงการก่อสร้างและปรับปรุงเขื่อน ค.ส.ล.!คลองโอ่งอ่างและคลองบางลำพูจากบริเวณสะพาน!!ดำรงสถิตถึงบริเวณป้อมพระสุเมรุ                              7,219,000 บาท!
(10)  สำนักการระบายน้ำ||1.  งานจัดการคุณภาพน้ำ                                  212,218,945 บาท!!2.  โครงการจ้างเดินระบบ บำรุงรักษา และบริหารจัดการ!!โรงควบคุมคุณภาพน้ำดินแดง ระยะที่ 3                     198,800,000 บาท!
(10)  สำนักการระบายน้ำ||3.  โครงการจ้างเดินระบบ บำรุงรักษาและบริหารจัดการ!!โรงควบคุมคุณภาพน้ำจตุจักร ระยะที่ 3                     110,800,000 บาท!
(10)  สำนักการระบายน้ำ||4.  โครงการก่อสร้างระบบรวบรวมน้ำเสีย!!จากพื้นที่รับน้ำคลองลาดโตนด                              100,000,000 บาท!
(10)  สำนักการระบายน้ำ||5.  โครงการก่อสร้างระบบรวบรวมน้ำเสีย!!และระบบบำบัดน้ำเสียมีนบุรี ระยะที่ 1                     200,000,000 บาท!
